pattern,count
"('wash(knife)', 'put-down(knife)', 'pick-up(knife)')",5
"('put-down(knife)', 'pick-up(knife)', 'wash(knife)')",5
"('pour-from(soup)', 'scoop-up(soup)', 'pour-from(soup)')",5
"('pick-up(bowl)', 'turn-on(tap)', 'rinse(bowl)')",5
"('flip(meat)', 'stir(meat)', 'press-on(spatula)')",5
"('flip(meat)', 'press-on(spatula)', 'press-on(spatula)')",5
"('pick-up(bowl)', 'put-down(bowl)', 'put-down(bowl)')",5
"('pour(packaging)', 'pour(packaging)', 'pour(packaging)')",5
"('pick-up(cloth)', 'rinse(cloth)', 'clean(sink)')",5
"('move(tomato)', 'cut(tomato)', 'move(tomato)')",5
"('pour(oil)', 'close(bottle:oil)', 'put-down(oil)')",5
"('turn-off(tap)', 'lather(plate)', 'put-down(plate)')",5
"('rinse(glass)', 'put-down(glass)', 'turn-off(tap)')",5
"('chop(tomato:sun:dried)', 'chop(tomato:sun:dried)', 'chop(tomato:sun:dried)')",5
"('rinse(sponge)', 'rinse(hand)', 'put-down(sponge)')",5
"('pick-up(slice:potato)', 'put-down(slice:potato)', 'put-down(slice:potato)')",5
"('crack(egg)', 'put-down(eggshell)', 'pick-up(egg)')",5
"('put-down(eggshell)', 'pick-up(egg)', 'tap(egg)')",5
"('pick-up(plate)', 'turn-on(tap)', 'rinse(plate)')",5
"('put-down(brush:pastry)', 'pick-up(chopstick)', 'put-on(chopstick)')",5
"('pick-up(chopstick)', 'put-on(chopstick)', 'fold-over(dough)')",5
"('flip-over(piece:tofu)', 'move(piece:tofu)', 'flip-over(piece:tofu)')",5
"('pick-up(bun:bao)', 'put-in(bun:bao)', 'pick-up(bun:bao)')",5
"('open(cupboard)', 'open(cupboard)', 'close(cupboard)')",5
"('pop-out(cube:ice)', 'pick-up(cube:ice)', 'put-into(cube:ice)')",5
"('chop(potato:sweet)', 'put-in(potato:sweet)', 'chop(potato:sweet)')",5
"('put-in(potato:sweet)', 'chop(potato:sweet)', 'put-in(potato:sweet)')",5
"('mix(dough)', 'pour-into(water)', 'mix(dough)')",5
"('turn-on(tap)', 'rinse(board:cutting)', 'turn-off(tap)')",5
"('clean(hob)', 'clean(hob)', 'turn-on(tap)')",5
"('shake(pot)', 'shake(pot)', 'shake(pot)')",5
"('pick-up(cap:burner)', 'put-down(cap:burner)', 'pick-up(cap:burner)')",5
"('turn-on(tap)', 'rinse(hand)', 'pick-up(sponge)')",5
"('pick-up(cap:burner)', 'rinse(cap:burner)', 'put-down(cap:burner)')",5
"('put-down(container)', 'pick-up(container)', 'put-down(container)')",5
"('close(cupboard)', 'pick-up(cloth)', 'dry(hand)')",5
"('rinse(bowl)', 'put-down(bowl)', 'pick-up(bowl)')",5
"('open(drawer)', 'put-down(towel:tea)', 'close(drawer)')",5
"('open(bag)', 'throw(residue:food)', 'close(bag)')",5
"('pour(salt)', 'pick-up(salt)', 'pour(salt)')",5
"('put-down(spoon)', 'pick-up(lid)', 'put-down(lid)')",5
"('pick-up(glass)', 'put-down(glass)', 'close(cupboard)')",5
"('pour(chickpea)', 'pick-up(chickpea)', 'pour(chickpea)')",5
"('rinse(cutlery)', 'put-down(cutlery)', 'rinse(cutlery)')",5
"('pick-up(knife)', 'dry(knife)', 'put-down(knife)')",5
"('pick-up(plate)', 'pick-up(sponge)', 'sponge(plate)')",5
"('sponge(mug)', 'put-down(sponge)', 'turn-on(tap)')",5
"('put-down(sponge)', 'turn-on(tap)', 'rinse(mug)')",5
"('pick-up(glass)', 'turn-on(tap)', 'fill-with(glass)')",5
"('turn-on(tap)', 'fill-with(glass)', 'turn-off(tap)')",5
"('open(cupboard)', 'pick-up(glass)', 'put-down(glass)')",5
"('turn-on(tap)', 'rinse(fork)', 'turn-off(tap)')",5
"('rinse(plate)', 'turn-off(tap)', 'put-in(plate)')",5
"('turn-on(tap)', 'fill(glass)', 'turn-off(tap)')",5
"('cut-in(tomato:cherry)', 'cut-in(tomato:cherry)', 'cut-in(tomato:cherry)')",5
"('close(bottle)', 'shake(bottle)', 'open(bottle)')",5
"('close(bottle)', 'open(fridge)', 'put-in(bottle)')",5
"('pick-up(fork)', 'wash(fork)', 'put-in(fork)')",5
"('wash(plate)', 'put-in(plate)', 'pick-up(plate)')",5
"('flip(patty:tuna)', 'flip(patty:tuna)', 'flip(patty:tuna)')",5
"('pick-up(omelette)', 'put-on(tray:baking)', 'pick-up(omelette)')",5
"('turn-off(tap)', 'pour-into(water)', 'turn-on(tap)')",5
"('put(plate)', 'take(spoon)', 'mix(curry)')",5
"('take(bowl)', 'put(bowl)', 'take(bowl)')",5
"('put(bottle)', 'take(bottle)', 'put(bottle)')",5
"('clean(sink)', 'rinse(sponge)', 'clean(sink)')",5
"('wash(knife)', 'rinse(knife)', 'put-down(knife)')",5
"('wash(hand)', 'pick-up(paper)', 'tear(paper)')",5
"('flip(aubergine)', 'pick-up(aubergine)', 'put-down(aubergine)')",5
"('put-down(aubergine)', 'pick-up(salt)', 'pour(salt)')",5
"('put-down(fork)', 'take(fork)', 'rinse(fork)')",5
"('flip(aubergine)', 'put-down(fork)', 'wash(hand)')",5
"('open(oven)', 'pick-up(tray:baking)', 'put-down(tray:baking)')",5
"('pick-up(tray:baking)', 'put-down(tray:baking)', 'close(oven)')",5
"('open(fridge)', 'pick-up(cheese)', 'close(fridge)')",5
"('turn-on(tap)', 'rinse(lid)', 'turn-off(tap)')",5
"('sponge(plate)', 'turn-on(tap)', 'rinse(plate)')",5
"('turn-on(tap)', 'rinse(spoon:wooden)', 'turn-off(tap)')",5
"('sponge(spoon)', 'put-down(sponge)', 'turn-on(tap)')",5
"('rinse(spoon)', 'turn-off(tap)', 'put-down(spoon)')",5
"('put-down(sponge)', 'turn-on(tap)', 'rinse(glass)')",5
"('put-down(sponge)', 'turn-on(tap)', 'rinse(knife)')",5
"('press(button)', 'squeeze(orange)', 'press(button)')",5
"('squeeze(orange)', 'press(button)', 'throw(peel:orange)')",5
"('place-on(meat)', 'place-on(meat)', 'get(meat)')",5
"('put-on(nut:pine)', 'put-on(nut:pine)', 'pick-up(bag:pine:nut)')",5
"('rinse(pan)', 'turn-off(tap)', 'put-down(pan)')",5
"('rinse(board:chopping)', 'turn-off(tap)', 'put-down(board:chopping)')",5
"('pick-up(mug)', 'turn-on(tap)', 'fill-with(mug)')",5
"('take(thigh:chicken)', 'rinse(thigh:chicken)', 'put-in(thigh:chicken)')",5
"('smash(garlic)', 'peel(skin:garlic)', 'discard(skin:garlic)')",5
"('turn-on(tap)', 'rinse(plate)', 'put-down(plate)')",5
"('stir(food)', 'stir(food)', 'take(spoon)')",5
"('stir(food)', 'take(spoon)', 'spoon(rice)')",5
"('wash(glass)', 'turn-on(tap)', 'rinse(glass)')",5
"('wash(plate)', 'put(sponge)', 'turn-on(tap)')",5
"('rinse(pan)', 'rinse(pan)', 'turn-off(tap)')",5
"('turn-on(tap)', 'rinse(strainer)', 'turn-off(tap)')",5
"('pick-up(tomato)', 'put(tomato)', 'pick-up(tomato)')",5
"('turn-on(tap)', 'wash(hand)', 'wash(hand)')",5
"('open(drawer)', 'pick-up(spoon:wooden)', 'close(drawer)')",5
"('rinse(plate)', 'pick-up(sponge)', 'lather(plate)')",5
"('pick-up(liquid:washing:up)', 'pour(liquid:washing:up)', 'put-down(detergent)')",5
"('put-down(pancake:crispy)', 'pick-up(pancake:crispy)', 'put-down(pancake:crispy)')",5
"('put-down(glass)', 'put-down(glass)', 'put-down(glass)')",5
"('pick-up(pasta)', 'put-down(pasta)', 'put-down(plate)')",5
"('rinse(fork)', 'put-down(fork)', 'take(fork)')",5
"('open(fridge)', 'put-down(bottle)', 'close(fridge)')",5
"('put-into(dice:courgette)', 'move(slice:courgette)', 'dice(courgette)')",5
"('move(slice:courgette)', 'dice(courgette)', 'pick-up(dice:courgette)')",5
"('pick-up(leaf:pak:choi)', 'wash(leaf:pak:choi)', 'put-into(leaf:pak:choi)')",5
"('put-down(cloth)', 'pick-up(spatula)', 'stir(food)')",5
"('take(spatula)', 'stir(vegetable)', 'stir(vegetable)')",5
"('put-in(carrot)', 'put-in(carrot)', 'cut(carrot)')",5
"('cut-into(carrot)', 'take(carrot)', 'put-in(carrot)')",5
"('take(thigh:chicken)', 'debone(thigh:chicken)', 'debone(thigh:chicken)')",5
"('take(spoon)', 'wash(spoon)', 'put-down(spoon)')",5
"('debone(thigh:chicken)', 'debone(thigh:chicken)', 'put-down(bone:chicken)')",5
"('open(drawer)', 'take(fork)', 'close(drawer)')",5
